createTime,deviceId,lat,localTime,lon,sensorId,value
2022-03-30 00:03:27.917,21152332479,25.6882,2022-03-30 00:02:57.000,122.8035183,pm2_5,4.4
2022-03-30 00:02:27.930,21152332479,25.6882016,2022-03-30 00:01:57.000,122.80352,pm2_5,5.5
2022-03-30 00:05:27.921,21152332479,25.6881983,2022-03-30 00:04:57.000,122.8035183,pm2_5,6.6
